the_geom,OBJECTID,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType,OwnerName,LocationX,LocationY
POINT (-90.059011955353 29.990122565734),876462,BURGER KING #5888,3102 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70122,504-949-5100,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),BROOKS RESTAURANTS INC,3684230.12796,544141.465486
POINT (-90.063895881794 29.956084919992),877020,NEW ORLEANS CREOLE COOKERY,508  TOULOUSE ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"TOULOUSE FRENCH QUARTER RESTAURANT,LLC",3682821.27663,531746.939331
POINT (-90.074991157744 29.953550921348),876843,KAIS LLC,234 LOYOLA AVE,,NEW ORLEANS,LA,70112,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),TRUONG KENNY K,3679318.05544,530786.730434
POINT (-90.095978717313 29.973037864855),876844,KATIE'S RESTAURANT & BAR,3701 IBERVILLE ST,,NEW ORLEANS,LA,70119,504-488-6582,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),SCOTTIES CREOLE COOKING & CATERING LLC,3672595.6036,537800.55092
POINT (-89.956762236637 30.041817929488),877318,SUPER CAJUN SEAFOOD,5971 BULLARD AVE,,NEW ORLEANS,LA,70128,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"TONY & JOHNNY,LLC",3716370.61938,563314.1576
POINT (-90.065729264635 29.948295370012),877211,RUTH'S CHRIS STEAK HOUSE,228 POYDRAS ST,"SUITE ""A""",NEW ORLEANS,LA,70130,504-587-7099,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"RCSH OPERATIONS, LLC",3682272.06844,528907.947328
POINT (-90.09362297569 29.9805451849),876431,BLUE OAK BBQ,900 N CARROLLTON AVE,,NEW ORLEANS,LA,70119,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),FIRST CHAIR PRODUCTIONS LLC,3673311.89275,540538.565067
POINT (-90.064887965337 29.945617374906),877055,OMNI RIVERFRONT HOTEL,701 CONVENTION CENTER BLVD,,NEW ORLEANS,LA,70130,504-681-1001,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"RIVERFRONT LODGING, LLC",3682549.2685,527937.079423
POINT (-90.115152129075 30.021391924576),877222,SALA,124 LAKE MARINA AVE,,NEW ORLEANS,LA,70124,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"TINCTURE NOLA, LLC",3666338.38061,555319.007513
POINT (-90.073975470404 29.931380501876),877417,THE TASTING ROOM,1906 MAGAZINE ST,,NEW ORLEANS,LA,70130,504-300-7105,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"DEVLAR ENTERPRISES, LLC",3679728.28987,522728.293498
POINT (-90.076390589495 29.98639975711),877431,TOAST,1845 GENTILLY BLVD,,NEW ORLEANS,LA,70119,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),CASH HURST RESTAURANT GROUP LLC,3678743.8779,542726.945677
POINT (-90.06620206928 29.948956531355),876878,LE MERIDIEN NEW ORLEANS,333 POYDRAS ST,,NEW ORLEANS,LA,70130,504-525-9444,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"WESTERN HOST, INC",3682119.68354,529146.713216
POINT (-90.109468723271 29.934907530654),876978,MINT MODERN VIETNAMESE,5100 FRERET ST,,NEW ORLEANS,LA,70115,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),JIMMY SONG LLC,3668472.77722,523889.038076
POINT (-90.065160566149 29.95815759982),877390,THE OLD COFFEE POT RESTAURANT,714 ST PETER ST,,NEW ORLEANS,LA,70116,504-524-3500,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),DUSTIN INVESTMENTS LLC,3682412.47042,532496.207428
POINT (-90.059868506291 29.96016798154),876573,COOP'S PLACE,1109 DECATUR ST,,NEW ORLEANS,LA,70116,504-525-9053,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),JCOOP INC,3684080.05084,533245.840644
POINT (-90.103261861778 29.920570455513),876617,DEL FUEGO TAQUERIA,4518 MAGAZINE ST,,NEW ORLEANS,LA,70115,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),FDSQUARED LLC,3670494.58324,518696.602167
POINT (-90.020639725897 29.925316567452),877296,SUBWAY   #4146,3600 MACARTHUR BLVD,,NEW ORLEANS,LA,70114,504-367-4261,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),RANDAL LOUISIANA CORP.,3696646.56311,520712.840249
POINT (-90.032658202496 29.961494882527),876815,JACK DEMPSEY'S RESTAURANT,738 POLAND AVE,,NEW ORLEANS,LA,70117,504-943-9914,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),BAIAMONTE LLC,3692690.39683,533825.127365
POINT (-90.114975491689 29.96143626474),877136,POPEYES FAMOUS FRIED CHICKEN  #2239,3100 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,504-486-6521,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),AMERICA'S FAVORTE CHICKE,3666626.09741,533517.30778
POINT (-90.066262057234 29.944508063638),876586,COURTYARD BY MARRIOTT,300 JULIA ST,,NEW ORLEANS,LA,70130,504-522-1300,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),COURTYARD MANAGEMENT COR,3682118.57461,527528.878975
POINT (-90.059525009004 29.960269669074),876416,BELLE'S DINER,1120 DECATUR ST,,NEW ORLEANS,LA,70116,504-566-6003,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"RICK'S DECATUR VENTURE, LLC",3684188.40431,533284.026948
POINT (-90.07166079606 29.953942824124),877400,"THE ROOSEVELT HOTEL, A WALDORF ASTORIA COLLECTION",123 BARONNE ST,,NEW ORLEANS,LA,70112,504-648-1200,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"WALDORF=ASTORIA MANAGEMENT, LLC",3680371.07893,530940.837378
POINT (-90.076989294557 29.951922709288),877035,"NOKEY'S DELI & GRILL I, INC",759 N CLAIBORNE AVE,B,NEW ORLEANS,LA,70116,504-827-0602,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"NOKEY'S DELI & GRILL I, INC",3678691.8167,530187.70942
POINT (-90.067104451072 29.955970370201),876875,LATROBE'S ON ROYAL,707 CONTI ST,,NEW ORLEANS,LA,70130,504-523-5292,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),LATROBE'S ON ROYAL LLC,3681805.73762,531694.043075
POINT (-90.053327759356 29.997409977523),876451,BROWN DERBY #4,3737 CLEMATIS ST,,NEW ORLEANS,LA,70122,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),SANAD LLC,3685999.82057,546811.502353
POINT (-90.066650096135 29.957695821063),876705,FOUR POINTS BY SHERATON FRENCH QUARTER,541 BOURBON ST,,NEW ORLEANS,LA,70130-2105,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),SPRINGFIELD CORP,3681942.674,532323.070467
POINT (-90.076989294557 29.951922709288),876883,LEGACY KITCHEN,700-B TCHOUPITOULAS ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"LEGACY NOLA #1, LLC",3678691.8167,530187.70942
POINT (-90.078584122045 29.943891961326),876518,CCBBQ,1201 S RAMPART ST,,NEW ORLEANS,LA,70113,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"CCBBQ, LLC",3678218.76859,527261.900287
POINT (-90.070325673599 29.94126205887),876918,MAGAZINE PIZZA,1068 MAGAZINE ST,,NEW ORLEANS,LA,70130,504-739-1040,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),G & G PARTNERS LLC,3680844.68405,526334.306238
POINT (-90.076989294557 29.951922709288),876826,JIMMY JOHN'S GOURMET SANDWICHES,404 N CARROLLTON AVE,,NEW ORLEANS,LA,70119,815-671-6833,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),BLUE BOILER CATS VI LLC,3678691.8167,530187.70942
POINT (-90.088753150506 29.945576764516),876792,HYSTER'S BARBQUE,2000 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,504-522-3028,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),MRS. HYSTER'S BARBEQUE I,3674991.67361,527839.434367
POINT (-90.071449071823 29.982083405195),876971,MID CITY MARKET,2526 ST BERNARD AVE,,NEW ORLEANS,LA,70119,504-324-9273,1104 - FISH & SEAFOOD MARKETS,"MID CITY MARKET,L.L.C.",3680325.42984,541174.547596
POINT (-90.02160384197 30.014098587377),876626,DIP WIT IT SPINACH DIP & CHIPS LLC,4324 DOWNMAN RD,STE C,NEW ORLEANS,LA,70126,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),DIP WIT IT SPINACH DIP & CHIPS LLC,3695971.59645,552993.671767
POINT (-90.127800824615 29.949439204804),877079,PANCHITA'S,1434 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,504-367-1204,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"PANCHITA'S MEXICAN CRIOLLA CUISINE, LLC.",3662611.02752,529111.758848
POINT (-90.080511351751 29.934438032544),877104,PHO KANG,2135 ST CHARLES AVE,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"PHO KANG ,LLC",3677646.01998,523817.429243
POINT (-90.067726086685 29.949926060725),876545,CHOPHOUSE NEW ORLEANS,322 MAGAZINE ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"MAGAZINE STEAKHOUSE,LLC",3681633.17205,529493.935745
POINT (-90.066230120367 29.955080582288),876850,KINGFISH,339 CHARTRES ST,,NEW ORLEANS,LA,70112,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),337 CHARTRES LLC,3682086.17436,531373.544003
POINT (-90.114128295003 29.962213945348),877163,RALLY'S HAMBURGERS #402,3222 S CARROLLTON AVE,,NEW ORLEANS,LA,70118-4308,727-519-2113,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),CHECKERS DRIVE-IN RESTAUINC,3666891.3417,533802.955973
POINT (-90.061746073526 30.023770688649),876464,BURGER KING REST #375,6332 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70122,504-949-5100,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),BROOKS RESTAURANTS INC,3683228.87426,556367.630746
POINT (-90.067878336427 29.948748763035),877310,SUBWAY SANDWICH & SMOOTHIES,400 POYDRAS ST,STE:150 BOX 37,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),AB-SA FOOD SERVICE LLC,3681589.68706,529065.294848
POINT (-89.926613166867 30.030608150122),876372,APPLEGOLD BUFFET,13344 CHEF MENTEUR HWY,STE J,NEW ORLEANS,LA,70129,504-251-2474,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),APPLEGOLD INC,3725959.09881,559353.725917
POINT (-90.076989294557 29.951922709288),877394,THE ORLEANS GRAPEVINE,720 ORLEANS AVE,,NEW ORLEANS,LA,70116,504-523-1927,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),THE ORLEANS GRAPEVINE IN,3678691.8167,530187.70942
POINT (-90.035568476018 30.004386047198),877468,WAFFLE HOUSE 1911,4601 OLD GENTILLY RD,,NEW ORLEANS,LA,70126,504-947-3971,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"WAFFLE HOUSE, INC",3691592.25814,549411.495955
POINT (-90.058101700726 29.966631654592),877478,WASABI SUSHI & BAR,900 FRENCHMEN ST,,NEW ORLEANS,LA,70116,504-887-9943,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"WASABI, LLC",3684613.33097,535602.49223
POINT (-90.036766886638 30.004843257308),877137,POPEYES FAMOUS FRIED CHICKEN  #2245,4480 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,504-943-6422,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),AMERICA'S FAVORITE CHICK,3691211.08272,549573.461267
POINT (-90.076989294557 29.951922709288),876855,L & B CORPORATION OF NEW ORLEANS (BASKIN ROBINS),5961 BULLARD RD,STE 3,NEW ORLEANS,LA,70128,504-246-7035,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"L & B CORPORATION OF NEW ORLEANS, INC.",3678691.8167,530187.70942
POINT (-90.110854710401 29.964456813948),876699,FIVE HAPPINESS RESTAURANT,3605 S CARROLLTON AVE,,NEW ORLEANS,LA,70118-4509,504-482-3935,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),FIVE HAPPINESS INC,3667919.16775,534629.593478
POINT (-90.073913859693 29.948919352455),876519,CELLARDOOR NOLA,916 LAFAYETTE ST,,NEW ORLEANS,LA,70113,504-239-9557,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"CELLARDOOR NOLA, LLC",3679677.70434,529106.269568
POINT (-90.076989294557 29.951922709288),877109,PIECE OF MEAT,3301 BIENVILLE ST,,NEW ORLEANS,LA,70119,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),BAYOU MEAT MARKET LLC,3678691.8167,530187.70942
POINT (-90.063759999528 29.949370858711),876908,LUCKY DOGS LAND BASED LLC,4 CANAL ST,,NEW ORLEANS,LA,70130,504-524-6010,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),LUCKY DOGS LAND BASED   LLC,3682891.35528,529305.937985
POINT (-90.068459565509 29.952451187846),876827,JIMMY JOHN'S SANDWICHES,600 CANAL ST,SUITE 102,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"BLUE BOILER CATS IX, LLC",3681390.76431,530409.599746
POINT (-90.076989294557 29.951922709288),877006,MR. ED'S OYSTER BAR & FISH HOUSE,512 BIENVILLE ST,,NEW ORLEANS,LA,70130,504-874-7878,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"512 BIENVILLE, LLC",3678691.8167,530187.70942
POINT (-90.114271130167 30.021403407771),877210,RUSSELL'S MARINA GRILL,8555 PONTCHARTRAIN BLVD,,NEW ORLEANS,LA,70124,504-282-9980,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),PAVLOS INC,3666617.12474,555326.148249
POINT (-90.077561280421 29.928965200227),876894,LITTLE KOREA BBQ,2240 MAGAZINE ST,STE 103,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),FUKI SUSHI LLC,3678602.17992,521837.538234
POINT (-90.063233957185 29.956002452179),877503,WORLD FAMOUS GUMBO YA YA RESTAURANT,600 DECATUR ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),CCRC 600 DECATUR LLC,3683031.20853,531719.273731
POINT (-90.093906001402 29.926051134862),877474,WAKIN' BAKIN',3625 PRYTANIA ST,,NEW ORLEANS,LA,70115,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),WAKE N BACON LLC,3673436.63956,520721.510649
POINT (-89.957568593318 30.043577312978),877083,PAPA JOHN'S,6003 BULLARD AVE,STE 5,NEW ORLEANS,LA,70128,504-244-7272,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"LMT SERVICES, LLC",3716107.82546,563950.871393
POINT (-90.067183664369 29.949034520466),876999,MOTHER'S RESTAURANT,401 POYDRAS ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"MOTHER'S RESTAURANT,LLC",3681808.52399,529171.636928
POINT (-90.062764533542 29.94853775976),876974,MIKE ANDERSON SEAFOOD,1 POYDRAS ST,250,NEW ORLEANS,LA,70130,504-524-3884,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),MIKE ANDERSON SEAFOOD   OF RIVERWALK INC,3683209.95157,529006.487168
POINT (-90.128000296928 29.940450826086),877099,PHILLIPS BAR & RESTAURANT,733 CHEROKEE ST,,NEW ORLEANS,LA,70118-5051,504-865-1155,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"PHILLIPS BAR & RESTAURANT, INC",3662582.24192,525842.575293
POINT (-90.109094873944 29.924475703592),877266,ST JAMES CHEESE COMPANY,5004 PRYTANIA ST,,NEW ORLEANS,LA,70115,504-899-4737,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"ST  JAMES CHEESE COMPANY, LLC",3668631.71226,520096.905208
POINT (-89.983525531919 29.921762660483),876909,LUCKY INN III,2701 CARVER ST,,NEW ORLEANS,LA,70131-4213,504-394-6076,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),BENN KEARLY T,3708417.61342,519557.106616
POINT (-90.068361913227 29.955706507281),877182,REMOULADE INC,309 BOURBON ST,,NEW ORLEANS,LA,70130,504-522-8767,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"REMOULADE, INC",3681408.61871,531593.694915
POINT (-90.062878934436 29.947716532787),876988,MONA'S CAFE,500 PORT OF NEW ORLEANS PL,STE 236,NEW ORLEANS,LA,70130,504-400-1242,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),MONA'S RIVERWALK LLC,3683177.03471,528707.457664
POINT (-90.076989294557 29.951922709288),877251,SMILEY'S GRILL,3716A DOWNMAN RD,,NEW ORLEANS,LA,70126,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),SMILEY'S GRILL LLC,3678691.8167,530187.70942
POINT (-90.062381967745 29.957537097799),876992,MONTY'S ON THE SQUARE,801 DECATUR ST,,NEW ORLEANS,LA,70116,504-525-4478,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),THE SMITH ORGANIZATION LLC,3683294.80303,532280.318339
POINT (-90.069758094603 29.951987855877),877243,SHELL SQUARE SUBWAY,204 ST CHARLES AVE,,NEW ORLEANS,LA,70130-2903,504-524-5008,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),SHELL SQUARE SUBWAY INC,3680981.42549,530236.578177
POINT (-90.123568057604 29.941215470893),876591,CREPES A LA CART,1039 BROADWAY ST,FRONT,NEW ORLEANS,LA,70118,504-831-0905,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),CREPES A LA CART LLC,3663983.01044,526135.42227
POINT (-89.92786003125 30.029952862954),877463,VUCINOVICH'S RESTAURANT,4510 MICHOUD BLVD,,NEW ORLEANS,LA,70129,504-254-5246,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),VUCINOVICH'S RESTAURANT INC,3725567.50022,559110.59894
POINT (-90.004078749449 29.932067170549),877302,SUBWAY #42514,4801 GENERAL MEYER AVE,F,NEW ORLEANS,LA,70131,504-267-5517,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),KRUPA ENTERPRISES INC,3701863.73898,523228.057915
POINT (-90.057936447488 29.964384111481),876933,MARIGNY BRASSERIE,640 FRENCHMEN ST,,NEW ORLEANS,LA,70116,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"SOUTHEAST RESTAURANT GROUP-MARIGNY,LLC",3684674.75036,534785.78471
POINT (-90.076989294557 29.951922709288),876993,MOON WOK,800 DAUPHINE ST,,NEW ORLEANS,LA,70116,504-523-6910,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"Q & T PROPERTIES LA, LLC",3678691.8167,530187.70942
POINT (-90.076989294557 29.951922709288),877339,TACOS & BEER,1622-26 SAINT CHARLES AVE,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),TACO EMPIRE LLC,3678691.8167,530187.70942
POINT (-90.057344441973 29.979819073622),876861,LA FOGATA GRILL RESTAURANT,2201 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70119,504-312-3121,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"LA FOGATA GRILL RESTAURANT, LLC",3684799.69173,540400.599051
POINT (-90.131572190964 29.943387238429),876554,CIRO'S COTE SUD,7918 MAPLE ST,,NEW ORLEANS,LA,70118,504-866-9551,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),CIRO'S COTE SUD LLC,3661439.81184,526898.48531
POINT (-90.076774154073 30.020263552213),877507,YUMMY SUSHI & HIBACHI,6100 HAMBURG ST,,NEW ORLEANS,LA,70122,504-232-1384,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"LI'S RESTAURANT, LLC",3678487.41717,555039.831961
POINT (-90.034818685462 29.965904737234),877253,SNEAKY PICKLE,4017 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,504-218-5651,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"HARVEST GYPSY, LLC",3691988.14275,535420.950598
POINT (-90.056954624863 29.97475540038),877096,PELICAN BAY,1701 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70117,504-940-1111,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),CLAREMONT HOLDING LLC,3684943.60956,538560.632137
POINT (-90.085262571429 29.963682228409),877470,WAFFLE HOUSE INC #2196,2500 CANAL ST,,NEW ORLEANS,LA,70119,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),WAFFLE HOUSE INC,3676025.37813,534435.280837
POINT (-90.075070082075 29.95317032065),876777,HOLIDAY INN DTN SUPERDOME,330 LOYOLA AVE,,NEW ORLEANS,LA,70112,504-581-1600,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"CIVIC CNTR SITE DEV, LLC",3679294.58299,530648.055362
POINT (-90.074509614358 29.932112264237),877387,THE MUNCH FACTORY,1901 SOPHIE WRIGHT PL,,NEW ORLEANS,LA,70130,504-315-5339,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),THE MUNCH FACTORY LLC.,3679556.18677,522992.529339
POINT (-89.960790923994 30.020788722504),876806,ISLAND FLAVOR,10711 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70127,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"ISLAND FLAVOR, LLC",3715187.63826,555651.869721
POINT (-90.084210469425 29.980360755182),876481,CAFE DEGAS,3127 ESPLANADE AVE,,NEW ORLEANS,LA,70119,504-945-5635,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),CAFE DEGAS INC,3676292.38715,540503.860363
POINT (-90.05879051296 29.960946434391),876621,DIAN XIN RESTAURANT,1218 DECATUR ST,,NEW ORLEANS,LA,70116,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),DIAN XIN LLC,3684418.23618,533532.710021
POINT (-90.067040425069 29.957202015362),876421,BIG EASY OF ST LOUIS,501 BOURBON ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),501 A BOURBON  LLC,3681821.06223,532142.138755
POINT (-90.057830789342 29.963031946907),876345,30 90,520 FRENCHMEN ST,,NEW ORLEANS,LA,70116,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),FRENCHMEN STREET ENTERTAINMENT LLC,3684713.67772,534294.460485
POINT (-90.084304332544 29.925341302555),876367,ANOTHER BROKEN EGG CAFE,2917 MAGAZINE ST,,NEW ORLEANS,LA,70115,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),COJAK INVESTMENTS OF MAGAZINE LLC,3676480.7611,520496.414776
